Year,Units,Category,Value
2020,%,1_3_1_cat_1,100
2016,%,1_3_1_cat_2,52.3
2020,%,1_3_1_cat_2,90.6
2014,%,1_3_1_cat_3,35.6
2020,%,1_3_1_cat_3,29.3
2020,%,1_3_1_cat_4,100
2020,%,1_3_1_cat_5,41
